Place,Magnitude,Link,Date
Southern Mid-Atlantic Ridge,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000859r,2471-07-29
Southern Mid-Atlantic Ridge,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008535,2471-07-24
"48km NNW of Saumlaki, Indonesia",5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu,2471-07-15
"109km WNW of Kirakira, Solomon Islands",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000848g,2471-07-11
"50km NNW of Hualian, Taiwan",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007we1,2471-07-07
"79km W of Santiago de Cao, Peru",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w9l,2471-07-04
"240km SE of Lambasa, Fiji",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w8g,2471-07-03
"83km ESE of Muara Siberut, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w28,2471-07-01
"24km SE of Saray, Turkey",6,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,2471-06-19
"67km NE of Kuril'sk, Russia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v6u,2471-06-18
"26km ESE of Saray, Turkey",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,2471-06-15
"141km SE of Modayag, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v12,2471-06-14
"135km SE of Modayag, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v0d,2471-06-13
West Chile Rise,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uy4,2471-06-12
"62km SSE of `Ohonua, Tonga",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uvu,2471-06-10
"40km SSE of `Ohonua, Tonga",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uuu,2471-06-10
"110km SSE of Pondaguitan, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usp,2471-06-09
"114km SSE of Pondaguitan, Philippines",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usm,2471-06-09
"144km E of Chichi-shima, Japan",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007upz,2471-06-06
"36km SSW of Amatignak Island, Alaska",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007u2w,2471-05-28
"229km NW of Saumlaki, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tt3,2471-05-22
"153km ENE of Petropavlovsk-Kamchatskiy, Russia",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007trb,2471-05-21
"286km NNE of Luring, China",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tnv,2471-05-21
"13km SE of Kalbay, Philippines",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007th0,2471-05-17
South of the Kermadec Islands,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tf0,2471-05-16
"118km SE of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tdi,2471-05-15
"93km SSW of Merizo Village, Guam",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007t2i,2471-05-10
North of Svalbard,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007s90,2471-04-26
